name;identifier;org_id
Gemeente Kaag en Braassem;GM1884;gm1884
Gemeente Kampen;GM0166;gm0166
Gemeente Kapelle;GM0678;gm0678
Gemeente Katwijk;GM0537;gm0537
Gemeente Kerkrade;GM0928;gm0928
Gemeente Koggenland;GM1598;gm1598
Gemeente Krimpen aan den IJssel;GM0542;gm0542
Gemeente Krimpenerwaard;GM1931;gm1931
Gemeente Laarbeek;GM1659;gm1659
Gemeente Landgraaf;GM0882;gm0882
Gemeente Landsmeer;GM0415;gm0415
Gemeente Lansingerland;GM1621;gm1621
Gemeente Laren;GM0417;gm0417
Gemeente Leeuwarden;GM0080;gm0080
Gemeente Leiden;GM0546;gm0546
Gemeente Leiderdorp;GM0547;gm0547
Gemeente Leidschendam-Voorburg;GM1916;gm1916
Gemeente Lelystad;GM0995;gm0995
Gemeente Leudal;GM1640;gm1640
Gemeente Leusden;GM0327;gm0327
Gemeente Lingewaard;GM1705;gm1705
Gemeente Lisse;GM0553;gm0553
Gemeente Lochem;GM0262;gm0262
Gemeente Loon op Zand;GM0809;gm0809
Gemeente Lopik;GM0331;gm0331
Gemeente Losser;GM0168;gm0168
Gemeente Maasdriel;GM0263;gm0263
Gemeente Maasgouw;GM1641;gm1641
Gemeente Maashorst;GM1991;gm1991
Gemeente Maassluis;GM0556;gm0556
Gemeente Maastricht;GM0935;gm0935
Gemeente Medemblik;GM0420;gm0420
Gemeente Meerssen;GM0938;gm0938
Gemeente Meierijstad;GM1948;gm1948
Gemeente Meppel;GM0119;gm0119
Gemeente Middelburg;GM0687;gm0687
Gemeente Midden-Delfland;GM1842;gm1842
Gemeente Midden-Drenthe;GM1731;gm1731
Gemeente Midden-Groningen;GM1952;gm1952
Gemeente Moerdijk;GM1709;gm1709
Gemeente Molenlanden;GM1978;gm1978
Gemeente Montferland;GM1955;gm1955
Gemeente Montfoort;GM0335;gm0335
Gemeente Mook en Middelaar;GM0944;gm0944
Gemeente Neder-Betuwe;GM1740;gm1740
Gemeente Nederweert;GM0946;gm0946
Gemeente Nieuwegein;GM0356;gm0356
Gemeente Nieuwkoop;GM0569;gm0569
Gemeente Nijkerk;GM0267;gm0267
Gemeente Nijmegen;GM0268;gm0268
Gemeente Nissewaard;GM1930;gm1930
Gemeente Noardeast-Fryslân;GM1970;gm1970
Gemeente Noord-Beveland;GM1695;gm1695
Gemeente Noordenveld;GM1699;gm1699
Gemeente Noordoostpolder;GM0171;gm0171
Gemeente Noordwijk;GM0575;gm0575
Gemeente Nuenen c.a.;GM0820;gm0820
Gemeente Nunspeet;GM0302;gm0302
Gemeente Oegstgeest;GM0579;gm0579
Gemeente Oirschot;GM0823;gm0823
Gemeente Oisterwijk;GM0824;gm0824
Gemeente Oldambt;GM1895;gm1895
Gemeente Oldebroek;GM0269;gm0269
Gemeente Oldenzaal;GM0173;gm0173
Gemeente Olst-Wijhe;GM1773;gm1773
Gemeente Ommen;GM0175;gm0175
Gemeente Oost Gelre;GM1586;gm1586
Gemeente Oosterhout;GM0826;gm0826
Gemeente Ooststellingwerf;GM0085;gm0085
Gemeente Oostzaan;GM0431;gm0431
Gemeente Opmeer;GM0432;gm0432
Gemeente Opsterland;GM0086;gm0086
Gemeente Oss;GM0828;gm0828
Gemeente Oude IJsselstreek;GM1509;gm1509
Gemeente Oudewater;GM0589;gm0589
Gemeente Overbetuwe;GM1734;gm1734
Gemeente Papendrecht;GM0590;gm0590
Gemeente Peel en Maas;GM1894;gm1894
Gemeente Pekela;GM0765;gm0765
Gemeente Pijnacker-Nootdorp;GM1926;gm1926
Gemeente Purmerend;GM0439;gm0439
Gemeente Putten;GM0273;gm0273
Gemeente Raalte;GM0177;gm0177
Gemeente Reimerswaal;GM0703;gm0703
Gemeente Renkum;GM0274;gm0274
Gemeente Renswoude;GM0339;gm0339
Gemeente Reusel-De Mierden;GM1667;gm1667
Gemeente Rheden;GM0275;gm0275
Gemeente Rhenen;GM0340;gm0340
Gemeente Ridderkerk;GM0597;gm0597
Gemeente Rijssen-Holten;GM1742;gm1742
Gemeente Rijswijk;GM0603;gm0603
Gemeente Roerdalen;GM1669;gm1669
Gemeente Roermond;GM0957;gm0957
Gemeente Roosendaal;GM1674;gm1674
Gemeente Rotterdam;GM0599;gm0599
Gemeente Rozendaal;GM0277;gm0277
Gemeente Rucphen;GM0840;gm0840
Gemeente Schagen;GM0441;gm0441
Gemeente Scherpenzeel;GM0279;gm0279
Gemeente Schiedam;GM0606;gm0606
Gemeente Schiermonnikoog;GM0088;gm0088
Gemeente Schouwen-Duiveland;GM1676;gm1676
Gemeente 's-Hertogenbosch;GM0796;gm0796
Gemeente Simpelveld;GM0965;gm0965
Gemeente Sint-Michielsgestel;GM0845;gm0845
Gemeente Sittard-Geleen;GM1883;gm1883
Gemeente Sliedrecht;GM0610;gm0610
Gemeente Sluis;GM1714;gm1714
Gemeente Smallingerland;GM0090;gm0090
Gemeente Soest;GM0342;gm0342
Gemeente Someren;GM0847;gm0847
Gemeente Son en Breugel;GM0848;gm0848
Gemeente Stadskanaal;GM0037;gm0037
Gemeente Staphorst;GM0180;gm0180
Gemeente Stede Broec;GM0532;gm0532
Gemeente Steenbergen;GM0851;gm0851
Gemeente Steenwijkerland;GM1708;gm1708
Gemeente Stein;GM0971;gm0971
Gemeente Stichtse Vecht;GM1904;gm1904
Gemeente Súdwest-Fryslân;GM1900;gm1900
Gemeente Terneuzen;GM0715;gm0715
Gemeente Terschelling;GM0093;gm0093
Gemeente Texel;GM0448;gm0448
Gemeente Teylingen;GM1525;gm1525
Gemeente Tholen;GM0716;gm0716
Gemeente Tiel;GM0281;gm0281
Gemeente Tilburg;GM0855;gm0855
Gemeente Tubbergen;GM0183;gm0183
Gemeente Twenterand;GM1700;gm1700
Gemeente Tynaarlo;GM1730;gm1730
Gemeente Tytsjerksteradiel;GM0737;gm0737
Gemeente Uitgeest;GM0450;gm0450
Gemeente Uithoorn;GM0451;gm0451
Gemeente Urk;GM0184;gm0184
Gemeente Utrecht;GM0344;gm0344
Gemeente Utrechtse Heuvelrug;GM1581;gm1581
Gemeente Vaals;GM0981;gm0981
Gemeente Valkenburg aan de Geul;GM0994;gm0994
Gemeente Valkenswaard;GM0858;gm0858
Gemeente Veendam;GM0047;gm0047
Gemeente Veenendaal;GM0345;gm0345
Gemeente Veere;GM0717;gm0717
Gemeente Veldhoven;GM0861;gm0861
Gemeente Velsen;GM0453;gm0453
Gemeente Venlo;GM0983;gm0983
Gemeente Venray;GM0984;gm0984
Gemeente Vijfheerenlanden;GM1961;gm1961
Gemeente Vlaardingen;GM0622;gm0622
Gemeente Vlieland;GM0096;gm0096
Gemeente Vlissingen;GM0718;gm0718
Gemeente Voerendaal;GM0986;gm0986
Gemeente Voorne aan Zee;GM1992;gm1992
Gemeente Voorschoten;GM0626;gm0626
Gemeente Voorst;GM0285;gm0285
Gemeente Vught;GM0865;gm0865
Gemeente Waadhoeke;GM1949;gm1949
Gemeente Waalre;GM0866;gm0866
Gemeente Waalwijk;GM0867;gm0867
Gemeente Waddinxveen;GM0627;gm0627
Gemeente Wageningen;GM0289;gm0289
Gemeente Waterland;GM0852;gm0852
Gemeente Weert;GM0988;gm0988
Gemeente West Betuwe;GM1960;gm1960
Gemeente West Maas en Waal;GM0668;gm0668
Gemeente Westerkwartier;GM1969;gm1969
Gemeente Westerveld;GM1701;gm1701
Gemeente Westervoort;GM0293;gm0293
Gemeente Westerwolde;GM1950;gm1950
Gemeente Westland;GM1783;gm1783
Gemeente Weststellingwerf;GM0098;gm0098
Gemeente Wierden;GM0189;gm0189
Gemeente Wijchen;GM0296;gm0296
Gemeente Wijdemeren;GM1696;gm1696
Gemeente Wijk bij Duurstede;GM0352;gm0352
Gemeente Winterswijk;GM0294;gm0294
Gemeente Woensdrecht;GM0873;gm0873
Gemeente Woerden;GM0632;gm0632
Gemeente Wormerland;GM0880;gm0880
Gemeente Woudenberg;GM0351;gm0351
Gemeente Zaanstad;GM0479;gm0479
Gemeente Zaltbommel;GM0297;gm0297
Gemeente Zandvoort;GM0473;gm0473
Gemeente Zeewolde;GM0050;gm0050
Gemeente Zeist;GM0355;gm0355
Gemeente Zevenaar;GM0299;gm0299
Gemeente Zoetermeer;GM0637;gm0637
Gemeente Zoeterwoude;GM0638;gm0638
Gemeente Zuidplas;GM1892;gm1892
Gemeente Zundert;GM0879;gm0879
Gemeente Zutphen;GM0301;gm0301
Gemeente Zwartewaterland;GM1896;gm1896
Gemeente Zwijndrecht;GM0642;gm0642
Gemeente Zwolle;GM0193;gm0193
Gemeente Cuijk;GM1982;gm1982
Gemeente Wassenaar;GM0629;gm0629
Gemeente Ouder-Amstel;GM0437;gm0437
